Ⴁ	b AL
თინათინი	tʰ AI i AJ n AE ɑ AJ tʰ AI i AJ n AE i AJ
თინუსი	tʰ AI i AJ n AE u AK s AG i AJ
თირი	tʰ AI i AJ r BA i AJ
თირკმელზედა	tʰ AI i AJ r BA kʼ AM m AD ɛ AJ l AC z AG ɛ AJ d AH ɑ AJ
თირკმელი	tʰ AI i AJ r BA kʼ AM m AD ɛ AJ l AC i AJ
თიხა	tʰ AI i AJ x BC ɑ AJ
თიხოვანი	tʰ AI i AJ x BC ɔ AK v BE ɑ AJ n AE i AJ
თლა	tʰ AI l AC ɑ AJ
თლის	tʰ AI l AC i AJ s AG
თმა	tʰ AI m AD ɑ AJ
თმიანი	tʰ AI m AD i AJ ɑ AJ n AE i AJ
თმიანობა	tʰ AI m AD i AJ ɑ AJ n AE ɔ AK b AL ɑ AJ
თოვლი	tʰ AI ɔ AK v BE l AC i AJ
თოვლიანი	tʰ AI ɔ AK v BE l AC i AJ ɑ AJ n AE i AJ
თოთხმეტი	tʰ AI ɔ AK tʰ AI x BC m AD ɛ AJ tʼ BB i AJ
თოკი	tʰ AI ɔ AK kʼ AM i AJ
თოლია	tʰ AI ɔ AK l AC i AJ ɑ AJ
თონე	tʰ AI ɔ AK n AE ɛ AJ
თორე	tʰ AI ɔ AK r BA ɛ AJ
თორემ	tʰ AI ɔ AK r BA ɛ AJ m AD
თორი	tʰ AI ɔ AK r BA i AJ
თორიუმი	tʰ AI ɔ AK r BA i AJ u AK m AD i AJ
თორმეტი	tʰ AI ɔ AK r BA m AD ɛ AJ tʼ BB i AJ
თორნე	tʰ AI ɔ AK r BA n AE ɛ AJ
თორნიკე	tʰ AI ɔ AK r BA n AE i AJ kʼ AM ɛ AJ
თოფი	tʰ AI ɔ AK pʰ AF i AJ
თოფიანი	tʰ AI ɔ AK pʰ AF i AJ ɑ AJ n AE i AJ
თოფრა	tʰ AI ɔ AK pʰ AF r BA ɑ AJ
თოხი	tʰ AI ɔ AK x BC i AJ
თოხლო	tʰ AI ɔ AK x BC l AC ɔ AK
თოჯინა	tʰ AI ɔ AK d AH ʒ AG i AJ n AE ɑ AJ
თრგუნავს	tʰ AI r BA ɡ BD u AK n AE ɑ AJ v BE s AG
თრევა	tʰ AI r BA ɛ AJ v BE ɑ AJ
თრთვილი	tʰ AI r BA tʰ AI v BE i AJ l AC i AJ
თრთოლა	tʰ AI r BA tʰ AI ɔ AK l AC ɑ AJ
თრიალეთი	tʰ AI r BA i AJ ɑ AJ l AC ɛ AJ tʰ AI i AJ
თრითინა	tʰ AI r BA i AJ tʰ AI i AJ n AE ɑ AJ
თრომბი	tʰ AI r BA ɔ AK m AD b AL i AJ
თუ	tʰ AI u AK
თუთა	tʰ AI u AK tʰ AI ɑ AJ
თუთია	tʰ AI u AK tʰ AI i AJ ɑ AJ
თუთიყუში	tʰ AI u AK tʰ AI i AJ qʼ AM u AK ʃ AG i AJ
თუთუბო	tʰ AI u AK tʰ AI u AK b AL ɔ AK
თუთუნი	tʰ AI u AK tʰ AI u AK n AE i AJ
თუთქი	tʰ AI u AK tʰ AI kʰ AB i AJ
თულარი	tʰ AI u AK l AC ɑ AJ r BA i AJ
თულიუმი	tʰ AI u AK l AC i AJ u AK m AD i AJ
თუმცა	tʰ AI u AK m AD t AH s AG ɑ AJ
თუნდაც	tʰ AI u AK n AE d AH ɑ AJ t AH s AG
თუნუქი	tʰ AI u AK n AE u AK kʰ AB i AJ
თურინჯი	tʰ AI u AK r BA i AJ n AE d AH ʒ AG i AJ
თურმე	tʰ AI u AK r BA m AD ɛ AJ
თურქეთად	tʰ AI u AK r BA kʰ AB ɛ AJ tʰ AI ɑ AJ d AH
თურქეთი	tʰ AI u AK r BA kʰ AB ɛ AJ tʰ AI i AJ
თურქეთით	tʰ AI u AK r BA kʰ AB ɛ AJ tʰ AI i AJ tʰ AI
თურქეთის	tʰ AI u AK r BA kʰ AB ɛ AJ tʰ AI i AJ s AG
თურქეთმა	tʰ AI u AK r BA kʰ AB ɛ AJ tʰ AI m AD ɑ AJ
თურქეთს	tʰ AI u AK r BA kʰ AB ɛ AJ tʰ AI s AG
თურქმენეთი	tʰ AI u AK r BA kʰ AB m AD ɛ AJ n AE ɛ AJ tʰ AI i AJ
თურქული	tʰ AI u AK r BA kʰ AB u AK l AC i AJ
თუშეთი	tʰ AI u AK ʃ AG ɛ AJ tʰ AI i AJ
თუშური	tʰ AI u AK ʃ AG u AK r BA i AJ
თუშფალანგი	tʰ AI u AK ʃ AG pʰ AF ɑ AJ l AC ɑ AJ n AE ɡ BD i AJ
თქვა	tʰ AI kʰ AB v BE ɑ AJ
თქვენ	tʰ AI kʰ AB v BE ɛ AJ n AE
თქვენთვის	tʰ AI kʰ AB v BE ɛ AJ n AE tʰ AI v BE i AJ s AG
თქვენი	tʰ AI kʰ AB v BE ɛ AJ n AE i AJ
თქმა	tʰ AI kʰ AB m AD ɑ AJ
თქმით	tʰ AI kʰ AB m AD i AJ tʰ AI
თქო	tʰ AI kʰ AB ɔ AK
თხა	tʰ AI x BC ɑ AJ
თხევადი	tʰ AI x BC ɛ AJ v BE ɑ AJ d AH i AJ
თხელი	tʰ AI x BC ɛ AJ l AC i AJ
თხელკანიანი	tʰ AI x BC ɛ AJ l AC kʼ AM ɑ AJ n AE i AJ ɑ AJ n AE i AJ
თხემი	tʰ AI x BC ɛ AJ m AD i AJ
თხზავს	tʰ AI x BC z AG ɑ AJ v BE s AG
თხზულება	tʰ AI x BC z AG u AK l AC ɛ AJ b AL ɑ AJ
თხილამური	tʰ AI x BC i AJ l AC ɑ AJ m AD u AK r BA i AJ
თხილი	tʰ AI x BC i AJ l AC i AJ
თხლე	tʰ AI x BC l AC ɛ AJ
თხოვნა	tʰ AI x BC ɔ AK v BE n AE ɑ AJ
თხოვს	tʰ AI x BC ɔ AK v BE s AG
თხრილი	tʰ AI x BC r BA i AJ l AC i AJ
თხრობა	tʰ AI x BC r BA ɔ AK b AL ɑ AJ
თხუთმეტი	tʰ AI x BC u AK tʰ AI m AD ɛ AJ tʼ BB i AJ
თხუნელა	tʰ AI x BC u AK n AE ɛ AJ l AC ɑ AJ
ია	i AJ ɑ AJ
იაგუარი	i AJ ɑ AJ ɡ BD u AK ɑ AJ r BA i AJ
იავადმყოფებს	i AJ ɑ AJ v BE ɑ AJ d AH m AD qʼ AM ɔ AK pʰ AF ɛ AJ b AL s AG
იავნანა	i AJ ɑ AJ v BE n AE ɑ AJ n AE ɑ AJ
იაკი	i AJ ɑ AJ kʼ AM i AJ
იაკობი	i AJ ɑ AJ kʼ AM ɔ AK b AL i AJ
იალბუზი	i AJ ɑ AJ l AC b AL u AK z AG i AJ
იალქანი	i AJ ɑ AJ l AC kʰ AB ɑ AJ n AE i AJ
იამაიკა	i AJ ɑ AJ m AD ɑ AJ i AJ kʼ AM ɑ AJ
იამბი	i AJ ɑ AJ m AD b AL i AJ
იანვარი	i AJ ɑ AJ n AE v BE ɑ AJ r BA i AJ
იანკი	i AJ ɑ AJ n AE kʼ AM i AJ
იანუსი	i AJ ɑ AJ n AE u AK s AG i AJ
იაპონელი	i AJ ɑ AJ pʼ AN ɔ AK n AE ɛ AJ l AC i AJ
იაპონია	i AJ ɑ AJ pʼ AN ɔ AK n AE i AJ ɑ AJ
იაპონიად	i AJ ɑ AJ pʼ AN ɔ AK n AE i AJ ɑ AJ d AH
იაპონიამ	i AJ ɑ AJ pʼ AN ɔ AK n AE i AJ ɑ AJ m AD
იაპონიას	i AJ ɑ AJ pʼ AN ɔ AK n AE i AJ ɑ AJ s AG
იაპონიით	i AJ ɑ AJ pʼ AN ɔ AK n AE i AJ i AJ tʰ AI
იაპონიის	i AJ ɑ AJ pʼ AN ɔ AK n AE i AJ i AJ s AG
იაპონური	i AJ ɑ AJ pʼ AN ɔ AK n AE u AK r BA i AJ
იარა	i AJ ɑ AJ r BA ɑ AJ
იარაღი	i AJ ɑ AJ r BA ɑ AJ ɣ BC i AJ
იარდი	i AJ ɑ AJ r BA d AH i AJ
იარენი	i AJ ɑ AJ r BA ɛ AJ n AE i AJ
იარლიყი	i AJ ɑ AJ r BA l AC i AJ qʼ AM i AJ
იაროსლავი	i AJ ɑ AJ r BA ɔ AK s AG l AC ɑ AJ v BE i AJ
იარუსი	i AJ ɑ AJ r BA u AK s AG i AJ
იასამანი	i AJ ɑ AJ s AG ɑ AJ m AD ɑ AJ n AE i AJ
იასამნისფერი	i AJ ɑ AJ s AG ɑ AJ m AD n AE i AJ s AG pʰ AF ɛ AJ r BA i AJ
იასონი	i AJ ɑ AJ s AG ɔ AK n AE i AJ
იასპი	i AJ ɑ AJ s AG pʼ AN i AJ
იატაკი	i AJ ɑ AJ tʼ BB ɑ AJ kʼ AM i AJ
იაფად	i AJ ɑ AJ pʰ AF ɑ AJ d AH
იაფი	i AJ ɑ AJ pʰ AF i AJ
იაფფასიანი	i AJ ɑ AJ pʰ AF pʰ AF ɑ AJ s AG i AJ ɑ AJ n AE i AJ
იაღლიში	i AJ ɑ AJ ɣ BC l AC i AJ ʃ AG i AJ
იახტა	i AJ ɑ AJ x BC tʼ BB ɑ AJ
იბერია	i AJ b AL ɛ AJ r BA i AJ ɑ AJ
იგავი	i AJ ɡ BD ɑ AJ v BE i AJ
იგავური	i AJ ɡ BD ɑ AJ v BE u AK r BA i AJ
იგებს	i AJ ɡ BD ɛ AJ b AL s AG
იგი	i AJ ɡ BD i AJ
იგივე	i AJ ɡ BD i AJ v BE ɛ AJ
იგინება	i AJ ɡ BD i AJ n AE ɛ AJ b AL ɑ AJ
იგონებს	i AJ ɡ BD ɔ AK n AE ɛ AJ b AL s AG
იდაყვი	i AJ d AH ɑ AJ qʼ AM v BE i AJ
იდგა	i AJ d AH ɡ BD ɑ AJ
იდეა	i AJ d AH ɛ AJ ɑ AJ
იდეალი	i AJ d AH ɛ AJ ɑ AJ l AC i AJ
იდეალიზაცია	i AJ d AH ɛ AJ ɑ AJ l AC i AJ z AG ɑ AJ t AH s AG i AJ ɑ AJ
იდეალიზმი	i AJ d AH ɛ AJ ɑ AJ l AC i AJ z AG m AD i AJ
იდეალისტი	i AJ d AH ɛ AJ ɑ AJ l AC i AJ s AG tʼ BB i AJ
იდეალისტური	i AJ d AH ɛ AJ ɑ AJ l AC i AJ s AG tʼ BB u AK r BA i AJ
იდეალურად	i AJ d AH ɛ AJ ɑ AJ l AC u AK r BA ɑ AJ d AH
იდეალური	i AJ d AH ɛ AJ ɑ AJ l AC u AK r BA i AJ
იდენტურად	i AJ d AH ɛ AJ n AE tʼ BB u AK r BA ɑ AJ d AH
იდენტური	i AJ d AH ɛ AJ n AE tʼ BB u AK r BA i AJ
იდენტურობა	i AJ d AH ɛ AJ n AE tʼ BB u AK r BA ɔ AK b AL ɑ AJ
იდეოგრამა	i AJ d AH ɛ AJ ɔ AK ɡ BD r BA ɑ AJ m AD ɑ AJ
იდეოლოგია	i AJ d AH ɛ AJ ɔ AK l AC ɔ AK ɡ BD i AJ ɑ AJ
იდეოლოგიურად	i AJ d AH ɛ AJ ɔ AK l AC ɔ AK ɡ BD i AJ u AK r BA ɑ AJ d AH
იდეოლოგიური	i AJ d AH ɛ AJ ɔ AK l AC ɔ AK ɡ BD i AJ u AK r BA i AJ
იდილია	i AJ d AH i AJ l AC i AJ ɑ AJ
იდილიური	i AJ d AH i AJ l AC i AJ u AK r BA i AJ
იდიომა	i AJ d AH i AJ ɔ AK m AD ɑ AJ
იდიომატურად	i AJ d AH i AJ ɔ AK m AD ɑ AJ tʼ BB u AK r BA ɑ AJ d AH
იდიომატური	i AJ d AH i AJ ɔ AK m AD ɑ AJ tʼ BB u AK r BA i AJ
იდიოტი	i AJ d AH i AJ ɔ AK tʼ BB i AJ
იდიოტიზმი	i AJ d AH i AJ ɔ AK tʼ BB i AJ z AG m AD i AJ
იდიოტურად	i AJ d AH i AJ ɔ AK tʼ BB u AK r BA ɑ AJ d AH
იდიოტური	i AJ d AH i AJ ɔ AK tʼ BB u AK r BA i AJ
იდო	i AJ d AH ɔ AK
იდუმალად	i AJ d AH u AK m AD ɑ AJ l AC ɑ AJ d AH
იდუმალება	i AJ d AH u AK m AD ɑ AJ l AC ɛ AJ b AL ɑ AJ
იდუმალი	i AJ d AH u AK m AD ɑ AJ l AC i AJ
იები	i AJ ɛ AJ b AL i AJ
იეზუიტი	i AJ ɛ AJ z AG u AK i AJ tʼ BB i AJ
იეზუიტური	i AJ ɛ AJ z AG u AK i AJ tʼ BB u AK r BA i AJ
იელი	i AJ ɛ AJ l AC i AJ
იემენი	i AJ ɛ AJ m AD ɛ AJ n AE i AJ
იენა	i AJ ɛ AJ n AE ɑ AJ
იერარქია	i AJ ɛ AJ r BA ɑ AJ r BA kʰ AB i AJ ɑ AJ
იერარქიული	i AJ ɛ AJ r BA ɑ AJ r BA kʰ AB i AJ u AK l AC i AJ
იერიში	i AJ ɛ AJ r BA i AJ ʃ AG i AJ
იეროგლიფი	i AJ ɛ AJ r BA ɔ AK ɡ BD l AC i AJ pʰ AF i AJ
იეროგლიფური	i AJ ɛ AJ r BA ɔ AK ɡ BD l AC i AJ pʰ AF u AK r BA i AJ
იერუსალიმი	i AJ ɛ AJ r BA u AK s AG ɑ AJ l AC i AJ m AD i AJ
იესო	i AJ ɛ AJ s AG ɔ AK
ივანე	i AJ v BE ɑ AJ n AE ɛ AJ
ივანიშვილი	i AJ v BE ɑ AJ n AE i AJ ʃ AG v BE i AJ l AC i AJ
ივლისი	i AJ v BE l AC i AJ s AG i AJ
ივნისად	i AJ v BE n AE i AJ s AG ɑ AJ d AH
ივნისი	i AJ v BE n AE i AJ s AG i AJ
ივნისით	i AJ v BE n AE i AJ s AG i AJ tʰ AI
ივნისის	i AJ v BE n AE i AJ s AG i AJ s AG
ივნისმა	i AJ v BE n AE i AJ s AG m AD ɑ AJ
ივნისს	i AJ v BE n AE i AJ s AG s AG
იზაბელა	i AJ z AG ɑ AJ b AL ɛ AJ l AC ɑ AJ
იზმირი	i AJ z AG m AD i AJ r BA i AJ
იზობარა	i AJ z AG ɔ AK b AL ɑ AJ r BA ɑ AJ
იზოთერმი	i AJ z AG ɔ AK tʰ AI ɛ AJ r BA m AD i AJ
იზოლატორი	i AJ z AG ɔ AK l AC ɑ AJ tʼ BB ɔ AK r BA i AJ
იზოლაცია	i AJ z AG ɔ AK l AC ɑ AJ t AH s AG i AJ ɑ AJ
იზოტოპი	i AJ z AG ɔ AK tʼ BB ɔ AK pʼ AN i AJ
ითესავს	i AJ tʰ AI ɛ AJ s AG ɑ AJ v BE s AG
ითმენს	i AJ tʰ AI m AD ɛ AJ n AE s AG
ითხოვს	i AJ tʰ AI x BC ɔ AK v BE s AG
ილაჯი	i AJ l AC ɑ AJ d AH ʒ AG i AJ
ილი	i AJ l AC i AJ
ილია	i AJ l AC i AJ ɑ AJ
ილოტი	i AJ l AC ɔ AK tʼ BB i AJ
ილუზიონისტი	i AJ l AC u AK z AG i AJ ɔ AK n AE i AJ s AG tʼ BB i AJ
ილუზიური	i AJ l AC u AK z AG i AJ u AK r BA i AJ
ილუზორული	i AJ l AC u AK z AG ɔ AK r BA u AK l AC i AJ
ილუმინატორი	i AJ l AC u AK m AD i AJ n AE ɑ AJ tʼ BB ɔ AK r BA i AJ
ილუსტრატორი	i AJ l AC u AK s AG tʼ BB r BA ɑ AJ tʼ BB ɔ AK r BA i AJ
ილუსტრაცია	i AJ l AC u AK s AG tʼ BB r BA ɑ AJ t AH s AG i AJ ɑ AJ
იმაზე	i AJ m AD ɑ AJ z AG ɛ AJ
იმამი	i AJ m AD ɑ AJ m AD i AJ
იმარჯვებს	i AJ m AD ɑ AJ r BA d AH ʒ AG v BE ɛ AJ b AL s AG
იმდენად	i AJ m AD d AH ɛ AJ n AE ɑ AJ d AH
იმედაშვილი	i AJ m AD ɛ AJ d AH ɑ AJ ʃ AG v BE i AJ l AC i AJ
იმედი	i AJ m AD ɛ AJ d AH i AJ
იმედიანად	i AJ m AD ɛ AJ d AH i AJ ɑ AJ n AE ɑ AJ d AH
იმედიანი	i AJ m AD ɛ AJ d AH i AJ ɑ AJ n AE i AJ
იმედისმომცემად	i AJ m AD ɛ AJ d AH i AJ s AG m AD ɔ AK m AD t AH s AG ɛ AJ m AD ɑ AJ d AH
იმერეთად	i AJ m AD ɛ AJ r BA ɛ AJ tʰ AI ɑ AJ d AH
იმერეთი	i AJ m AD ɛ AJ r BA ɛ AJ tʰ AI i AJ
იმერეთით	i AJ m AD ɛ AJ r BA ɛ AJ tʰ AI i AJ tʰ AI
იმერეთის	i AJ m AD ɛ AJ r BA ɛ AJ tʰ AI i AJ s AG
იმერეთმა	i AJ m AD ɛ AJ r BA ɛ AJ tʰ AI m AD ɑ AJ
იმერეთს	i AJ m AD ɛ AJ r BA ɛ AJ tʰ AI s AG
იმერული	i AJ m AD ɛ AJ r BA u AK l AC i AJ
იმით	i AJ m AD i AJ tʰ AI
იმიტატორი	i AJ m AD i AJ tʼ BB ɑ AJ tʼ BB ɔ AK r BA i AJ
იმიტაცია	i AJ m AD i AJ tʼ BB ɑ AJ t AH s AG i AJ ɑ AJ
იმიტირება	i AJ m AD i AJ tʼ BB i AJ r BA ɛ AJ b AL ɑ AJ
იმიტომ	i AJ m AD i AJ tʼ BB ɔ AK m AD
იმპერატორი	i AJ m AD pʼ AN ɛ AJ r BA ɑ AJ tʼ BB ɔ AK r BA i AJ
იმპერია	i AJ m AD pʼ AN ɛ AJ r BA i AJ ɑ AJ
იმპერიად	i AJ m AD pʼ AN ɛ AJ r BA i AJ ɑ AJ d AH
იმპერიალიზმი	i AJ m AD pʼ AN ɛ AJ r BA i AJ ɑ AJ l AC i AJ z AG m AD i AJ
იმპერიალისტი	i AJ m AD pʼ AN ɛ AJ r BA i AJ ɑ AJ l AC i AJ s AG tʼ BB i AJ
იმპერიამ	i AJ m AD pʼ AN ɛ AJ r BA i AJ ɑ AJ m AD
იმპერიას	i AJ m AD pʼ AN ɛ AJ r BA i AJ ɑ AJ s AG
იმპერიით	i AJ m AD pʼ AN ɛ AJ r BA i AJ i AJ tʰ AI
იმპერიის	i AJ m AD pʼ AN ɛ AJ r BA i AJ i AJ s AG
იმპერიული	i AJ m AD pʼ AN ɛ AJ r BA i AJ u AK l AC i AJ
იმპიჩმენტი	i AJ m AD pʼ AN i AJ t AH ʃ AG m AD ɛ AJ n AE tʼ BB i AJ
იმპორტერი	i AJ m AD pʼ AN ɔ AK r BA tʼ BB ɛ AJ r BA i AJ
იმპორტი	i AJ m AD pʼ AN ɔ AK r BA tʼ BB i AJ
იმპოტენცია	i AJ m AD pʼ AN ɔ AK tʼ BB ɛ AJ n AE t AH s AG i AJ ɑ AJ
იმპრესარიო	i AJ m AD pʼ AN r BA ɛ AJ s AG ɑ AJ r BA i AJ ɔ AK
იმპრესიონიზმი	i AJ m AD pʼ AN r BA ɛ AJ s AG i AJ ɔ AK n AE i AJ z AG m AD i AJ
იმპროვიზაცია	i AJ m AD pʼ AN r BA ɔ AK v BE i AJ z AG ɑ AJ t AH s AG i AJ ɑ AJ
იმპროვიზებულად	i AJ m AD pʼ AN r BA ɔ AK v BE i AJ z AG ɛ AJ b AL u AK l AC ɑ AJ d AH
იმპულსი	i AJ m AD pʼ AN u AK l AC s AG i AJ
იმპულსურად	i AJ m AD pʼ AN u AK l AC s AG u AK r BA ɑ AJ d AH
იმპულსური	i AJ m AD pʼ AN u AK l AC s AG u AK r BA i AJ
იმპულსურობა	i AJ m AD pʼ AN u AK l AC s AG u AK r BA ɔ AK b AL ɑ AJ
იმუნიზაცია	i AJ m AD u AK n AE i AJ z AG ɑ AJ t AH s AG i AJ ɑ AJ
იმუნოლოგია	i AJ m AD u AK n AE ɔ AK l AC ɔ AK ɡ BD i AJ ɑ AJ
იმღერებდეს	i AJ m AD ɣ BC ɛ AJ r BA ɛ AJ b AL d AH ɛ AJ s AG
ინაუგურაცია	i AJ n AE ɑ AJ u AK ɡ BD u AK r BA ɑ AJ t AH s AG i AJ ɑ AJ
ინაშვილი	i AJ n AE ɑ AJ ʃ AG v BE i AJ l AC i AJ
ინგლისელი	i AJ n AE ɡ BD l AC i AJ s AG ɛ AJ l AC i AJ
ინგლისი	i AJ n AE ɡ BD l AC i AJ s AG i AJ
ინგლისის	i AJ n AE ɡ BD l AC i AJ s AG i AJ s AG
ინგლისმა	i AJ n AE ɡ BD l AC i AJ s AG m AD ɑ AJ
ინგლისს	i AJ n AE ɡ BD l AC i AJ s AG s AG
ინგლისური	i AJ n AE ɡ BD l AC i AJ s AG u AK r BA i AJ
ინგრედიენტი	i AJ n AE ɡ BD r BA ɛ AJ d AH i AJ ɛ AJ n AE tʼ BB i AJ
ინდაური	i AJ n AE d AH ɑ AJ u AK r BA i AJ
ინდექსი	i AJ n AE d AH ɛ AJ kʰ AB s AG i AJ
ინდიანა	i AJ n AE d AH i AJ ɑ AJ n AE ɑ AJ
ინდიელი	i AJ n AE d AH i AJ ɛ AJ l AC i AJ
ინდივიდი	i AJ n AE d AH i AJ v BE i AJ d AH i AJ
ინდივიდუალურად	i AJ n AE d AH i AJ v BE i AJ d AH u AK ɑ AJ l AC u AK r BA ɑ AJ d AH
ინდივიდუუმი	i AJ n AE d AH i AJ v BE i AJ d AH u AK u AK m AD i AJ
ინდიკატორი	i AJ n AE d AH i AJ kʼ AM ɑ AJ tʼ BB ɔ AK r BA i AJ
ინდიუმი	i AJ n AE d AH i AJ u AK m AD i AJ
ინდოეთად	i AJ n AE d AH ɔ AK ɛ AJ tʰ AI ɑ AJ d AH
ინდოეთი	i AJ n AE d AH ɔ AK ɛ AJ tʰ AI i AJ
ინდოეთით	i AJ n AE d AH ɔ AK ɛ AJ tʰ AI i AJ tʰ AI
ინდოეთის	i AJ n AE d AH ɔ AK ɛ AJ tʰ AI i AJ s AG
ინდოეთმა	i AJ n AE d AH ɔ AK ɛ AJ tʰ AI m AD ɑ AJ
ინდოეთს	i AJ n AE d AH ɔ AK ɛ AJ tʰ AI s AG
ინდოელი	i AJ n AE d AH ɔ AK ɛ AJ l AC i AJ
ინდონეზია	i AJ n AE d AH ɔ AK n AE ɛ AJ z AG i AJ ɑ AJ
ინდონეზიური	i AJ n AE d AH ɔ AK n AE ɛ AJ z AG i AJ u AK r BA i AJ
ინდუიზმი	i AJ n AE d AH u AK i AJ z AG m AD i AJ
ინდური	i AJ n AE d AH u AK r BA i AJ
ინდუსი	i AJ n AE d AH u AK s AG i AJ
ინდუსური	i AJ n AE d AH u AK s AG u AK r BA i AJ
ინდუქტორი	i AJ n AE d AH u AK kʰ AB tʼ BB ɔ AK r BA i AJ
ინერტული	i AJ n AE ɛ AJ r BA tʼ BB u AK l AC i AJ
ინერტულობა	i AJ n AE ɛ AJ r BA tʼ BB u AK l AC ɔ AK b AL ɑ AJ
ინერცია	i AJ n AE ɛ AJ r BA t AH s AG i AJ ɑ AJ
ინვალიდის	i AJ n AE v BE ɑ AJ l AC i AJ d AH i AJ s AG
ინვალიდობა	i AJ n AE v BE ɑ AJ l AC i AJ d AH ɔ AK b AL ɑ AJ
ინვენტარი	i AJ n AE v BE ɛ AJ n AE tʼ BB ɑ AJ r BA i AJ
ინვერსია	i AJ n AE v BE ɛ AJ r BA s AG i AJ ɑ AJ
ინიციალები	i AJ n AE i AJ t AH s AG i AJ ɑ AJ l AC ɛ AJ b AL i AJ
ინიციატივა	i AJ n AE i AJ t AH s AG i AJ ɑ AJ tʼ BB i AJ v BE ɑ AJ
ინკვიზიტორი	i AJ n AE kʼ AM v BE i AJ z AG i AJ tʼ BB ɔ AK r BA i AJ
ინკვიზიცია	i AJ n AE kʼ AM v BE i AJ z AG i AJ t AH s AG i AJ ɑ AJ
ინკვიზიციური	i AJ n AE kʼ AM v BE i AJ z AG i AJ t AH s AG i AJ u AK r BA i AJ
ინკრუსტაცია	i AJ n AE kʼ AM r BA u AK s AG tʼ BB ɑ AJ t AH s AG i AJ ɑ AJ
ინკუბატორი	i AJ n AE kʼ AM u AK b AL ɑ AJ tʼ BB ɔ AK r BA i AJ
ინკუბაცია	i AJ n AE kʼ AM u AK b AL ɑ AJ t AH s AG i AJ ɑ AJ
ინჟინერი	i AJ n AE ʒ AG i AJ n AE ɛ AJ r BA i AJ
ინსპექტორი	i AJ n AE s AG pʼ AN ɛ AJ kʰ AB tʼ BB ɔ AK r BA i AJ
ინსტინქტი	i AJ n AE s AG tʼ BB i AJ n AE kʰ AB tʼ BB i AJ
ინსტინქტურად	i AJ n AE s AG tʼ BB i AJ n AE kʰ AB tʼ BB u AK r BA ɑ AJ d AH
ინსტინქტური	i AJ n AE s AG tʼ BB i AJ n AE kʰ AB tʼ BB u AK r BA i AJ
ინსტიტუტად	i AJ n AE s AG tʼ BB i AJ tʼ BB u AK tʼ BB ɑ AJ d AH
ინსტიტუტი	i AJ n AE s AG tʼ BB i AJ tʼ BB u AK tʼ BB i AJ
ინსტიტუტით	i AJ n AE s AG tʼ BB i AJ tʼ BB u AK tʼ BB i AJ tʰ AI
ინსტიტუტის	i AJ n AE s AG tʼ BB i AJ tʼ BB u AK tʼ BB i AJ s AG
ინსტიტუტმა	i AJ n AE s AG tʼ BB i AJ tʼ BB u AK tʼ BB m AD ɑ AJ
ინსტიტუტს	i AJ n AE s AG tʼ BB i AJ tʼ BB u AK tʼ BB s AG
ინსტრუმენტი	i AJ n AE s AG tʼ BB r BA u AK m AD ɛ AJ n AE tʼ BB i AJ
ინსტრუქტაჟი	i AJ n AE s AG tʼ BB r BA u AK kʰ AB tʼ BB ɑ AJ ʒ AG i AJ
ინსტრუქტორი	i AJ n AE s AG tʼ BB r BA u AK kʰ AB tʼ BB ɔ AK r BA i AJ
ინსტრუქციულად	i AJ n AE s AG tʼ BB r BA u AK kʰ AB t AH s AG i AJ u AK l AC ɑ AJ d AH
ინსტრუქციული	i AJ n AE s AG tʼ BB r BA u AK kʰ AB t AH s AG i AJ u AK l AC i AJ
ინსულინი	i AJ n AE s AG u AK l AC i AJ n AE i AJ
ინტეგრაცია	i AJ n AE tʼ BB ɛ AJ ɡ BD r BA ɑ AJ t AH s AG i AJ ɑ AJ
ინტელექტი	i AJ n AE tʼ BB ɛ AJ l AC ɛ AJ kʰ AB tʼ BB i AJ
ინტელექტუალი	i AJ n AE tʼ BB ɛ AJ l AC ɛ AJ kʰ AB tʼ BB u AK ɑ AJ l AC i AJ
ინტელექტუალურად	i AJ n AE tʼ BB ɛ AJ l AC ɛ AJ kʰ AB tʼ BB u AK ɑ AJ l AC u AK r BA ɑ AJ d AH
ინტელიგენცია	i AJ n AE tʼ BB ɛ AJ l AC i AJ ɡ BD ɛ AJ n AE t AH s AG i AJ ɑ AJ
ინტენსივობა	i AJ n AE tʼ BB ɛ AJ n AE s AG i AJ v BE ɔ AK b AL ɑ AJ
ინტენსიურად	i AJ n AE tʼ BB ɛ AJ n AE s AG i AJ u AK r BA ɑ AJ d AH
ინტენსიური	i AJ n AE tʼ BB ɛ AJ n AE s AG i AJ u AK r BA i AJ
ინტერესი	i AJ n AE tʼ BB ɛ AJ r BA ɛ AJ s AG i AJ
ინტერვენცია	i AJ n AE tʼ BB ɛ AJ r BA v BE ɛ AJ n AE t AH s AG i AJ ɑ AJ
ინტერვიუ	i AJ n AE tʼ BB ɛ AJ r BA v BE i AJ u AK
ინტერვიუერი	i AJ n AE tʼ BB ɛ AJ r BA v BE i AJ u AK ɛ AJ r BA i AJ
ინტერიერი	i AJ n AE tʼ BB ɛ AJ r BA i AJ ɛ AJ r BA i AJ
ინტერმედია	i AJ n AE tʼ BB ɛ AJ r BA m AD ɛ AJ d AH i AJ ɑ AJ
