あ	a̠ AJ
きょうせいろうどうしょう	kʲ AC o̞ː AL s AG e̞ː AK ɾ BB o̞ː AL d AH o̞ː AL ɕ BC o̞ː AL
きょうそ	kʲ AC o̞ː AL s AG o̞ AM
きょうそう	kʲ AC o̞ː AL s AG o̞ː AL
きょうそうきょく	kʲ AC o̞ː AL s AG o̞ː AL kʲ AC o̞ AM k AC ɯ̟ᵝ
きょうぞう	kʲ AC o̞ː AL z AG o̞ː AL
きょうたく	kʲ AC o̞ː AL t AH a̠ AJ k AC ɯ̟ᵝ
きょうだ	kʲ AC o̞ː AL d AH a̠ AJ
きょうだい	kʲ AC o̞ː AL d AH a̠ AJ i AJ
きょうだいぶん	kʲ AC o̞ː AL d AH a̠ AJ i AJ b AF ɯ̟̃ᵝ ɴ AI
きょうだん	kʲ AC o̞ː AL d AH ã̠ ɴ AI
きょうちょう	kʲ AC o̞ː AL t AH ɕ BC o̞ː AL
きょうちょくせいせきついえん	kʲ AC o̞ː AL t AH ɕ BC o̞ AM k AC ɯ̟ᵝ s AG e̞ː AK s AG e̞ AJ kʲ AC i AJ t AH s AG ɨᵝ i AJ ẽ̞ ɴ AI
きょうつうしゅうごう	kʲ AC o̞ː AL t AH s AG ɨᵝː ɕ BC ɨᵝː ɡ AC o̞ː AL
きょうつうてん	ɾ BB ɯ̟ᵝ i AJ ʑ BC i AJ t AH ẽ̞ ɴ AI
きょうてい	kʲ AC o̞ː AL t AH e̞ː AK
きょうてき	kʲ AC o̞ː AL t AH e̞ AJ kʲ AC i AJ
きょうてん	kʲ AC o̞ː AL t AH ẽ̞ ɴ AI
きょうと	kʲ AC o̞ː AL t AH o̞ AM
きょうとう	kʲ AC o̞ː AL t AH o̞ː AL
きょうとふ	kʲ AC o̞ː AL t AH o̞ AM ɸ BE ɯ̟ᵝ
きょうどう	kʲ AC o̞ː AL d AH o̞ː AL
きょうどうしゅっし	kʲ AC o̞ː AL d AH o̞ː AL ɕ BC ɨᵝ ɕː BJ i AJ
きょうどうたい	kʲ AC o̞ː AL d AH o̞ː AL t AH a̠ AJ i AJ
きょうどりょうり	kʲ AC o̞ː AL d AH o̞ AM ɾʲ BI o̞ː AL ɾʲ BI i AJ
きょうにん	kʲ AC o̞ː AL ɲ̟ BF ĩ ɴ AI
きょうねん	kʲ AC o̞ː AL n AE ẽ̞ ɴ AI
きょうはく	kʲ AC o̞ː AL h AA a̠ AJ k AC ɯ̟ᵝ
きょうはくじょう	kʲ AC o̞ː AL h AA a̠ AJ k AC ɯ̟ᵝ ʑ BC o̞ː AL
きょうはん	kʲ AC o̞ː AL h AA ã̠ ɴ AI
きょうはんしゃ	kʲ AC o̞ː AL h AA ã̠ ɰ̃ AB ɕ BC a̠ AJ
きょうばい	kʲ AC o̞ː AL b AF a̠ AJ i AJ
きょうふ	kʲ AC o̞ː AL ɸ BE ɯ̟ᵝ
きょうふしょう	kʲ AC o̞ː AL ɸ BE ɯ̟ᵝ ɕ BC o̞ː AL
きょうべん	kʲ AC o̞ː AL b AF ẽ̞ ɴ AI
きょうほ	kʲ AC o̞ː AL h AA o̞ AM
きょうほう	kʲ AC o̞ː AL h AA o̞ː AL
きょうぼう	kʲ AC o̞ː AL b AF o̞ː AL
きょうみぶかい	kʲ AC o̞ː AL mʲ BG i AJ b AF ɯ̟ᵝ k AC a̠ AJ i AJ
きょうむ	kʲ AC o̞ː AL m AD ɯ̟ᵝ
きょうめい	kʲ AC o̞ː AL m AD e̞ː AK
きょうゆう	kʲ AC o̞ː AL j AB ɯ̟ᵝː
きょうよ	kʲ AC o̞ː AL j AB o̞ AM
きょうよう	kʲ AC o̞ː AL j AB o̞ː AL
きょうらく	kʲ AC o̞ː AL ɾ BB a̠ AJ k AC ɯ̟ᵝ
きょうらくしゅぎ	kʲ AC o̞ː AL ɾ BB a̠ AJ k AC ɯ̟ᵝ ɕ BC ɨᵝ ɡʲ AC i AJ
きょうらくてき	kʲ AC o̞ː AL ɾ BB a̠ AJ k AC ɯ̟ᵝ t AH e̞ AJ kʲ AC i AJ
きょうりゅう	kʲ AC o̞ː AL ɾʲ BI ɨᵝː
きょうりょう	kʲ AC o̞ː AL ɾʲ BI o̞ː AL
きょうりょく	kʲ AC o̞ː AL ɾʲ BI o̞ AM k AC ɯ̟ᵝ
きょうわ	kʲ AC o̞ː AL ɰᵝ a̠ AJ
きょうわこく	kʲ AC o̞ː AL ɰᵝ a̠ AJ k AC o̞ AM k AC ɯ̟ᵝ
きょうわとういん	kʲ AC o̞ː AL ɰᵝ a̠ AJ t AH o̞ː AL ĩ ɴ AI
きょか	kʲ AC o̞ AM k AC a̠ AJ
きょがく	kʲ AC o̞ AM ɡ AC a̠ AJ k AC ɯ̟ᵝ
きょきん	kʲ AC o̞ AM kʲ AC ĩ ɴ AI
きょぎ	kʲ AC o̞ AM ɡ AC i AJ
きょく	kʲ AC o̞ AM k AC ɯ̟ᵝ
きょくあじさし	kʲ AC o̞ AM k AC ɯ̟ᵝ a̠ AJ ʑ BC i AJ s AG a̠ AJ ɕ BC i AJ
きょくげい	kʲ AC o̞ AM k AC ɯ̟ᵝ ɡ AC e̞ː AK
きょくげん	kʲ AC o̞ AM k AC ɯ̟ᵝ ɡ AC ẽ̞ ɴ AI
きょくせつ	kʲ AC o̞ AM k AC ɯ̟ᵝ s AG e̞ AJ t AH s AG ɨᵝ
きょくせん	kʲ AC o̞ AM k AC ɯ̟̊ᵝ s AG ẽ̞ ɴ AI
きょくせんび	kʲ AC o̞ AM k AC ɯ̟ᵝ s AG ẽ̞ m AD bʲ BH i AJ
きょくたん	kʲ AC o̞ AM k AC ɯ̟̊ᵝ t AH ã̠ ɴ AI
きょくとう	kʲ AC o̞ AM k AC ɯ̟̊ᵝ t AH o̞ː AL
きょくひどうぶつ	kʲ AC o̞ AM k AC ɯ̟ᵝ ç i AJ d AH o̞ː AL b AF ɯ̟ᵝ t AH s AG ɨᵝ
きょくぶ	kʲ AC o̞ AM k AC ɯ̟ᵝ b AF ɯ̟ᵝ
きょくめい	kʲ AC o̞ AM k AC ɯ̟ᵝ m AD e̞ː AK
きょくや	kʲ AC o̞ AM k AC ɯ̟ᵝ j AB a̠ AJ
きょくりょく	kʲ AC o̞ AM k AC ɯ̟ᵝ ɾʲ BI o̞ AM k AC ɯ̟ᵝ
きょこん	kʲ AC o̞ AM k AC õ̞ ɴ AI
きょしゅ	kʲ AC o̞ AM ɕ BC ɨᵝ
きょしゅつ	kʲ AC o̞ AM ɕ BC ɨᵝ t AH s AG ɨᵝ
きょしゅつきん	kʲ AC o̞ AM ɕ BC ɨᵝ t AH s AG ɨᵝ kʲ AC ĩ ɴ AI
きょしょう	kʲ AC o̞ AM ɕ BC o̞ː AL
きょしょく	kʲ AC o̞ AM ɕ BC o̞ AM k AC ɯ̟ᵝ
きょじゃく	kʲ AC o̞ AM ʑ BC a̠ AJ k AC ɯ̟ᵝ
きょじゅう	kʲ AC o̞ AM ʑ BC ɨᵝː
きょじゅうしゃ	kʲ AC o̞ AM ʑ BC ɨᵝː ɕ BC a̠ AJ
きょじゅうせい	kʲ AC o̞ AM ʑ BC ɨᵝː s AG e̞ː AK
きょじん	kʲ AC o̞ AM ʑ BC ĩ ɴ AI
きょすう	kʲ AC o̞ AM s AG ɨᵝː
きょすうたんい	kʲ AC o̞ AM s AG ɨᵝː t AH ã̠ ɰ̃ AB i AJ
きょせい	kʲ AC o̞ AM s AG e̞ː AK
きょぜつ	kʲ AC o̞ AM z AG e̞ AJ t AH s AG ɨᵝ
きょた	kʲ AC o̞ AM t AH a̠ AJ
きょたん	kʲ AC o̞ AM t AH ã̠ ɴ AI
きょたんやく	kʲ AC o̞ AM t AH ã̠ ɰ̃ AB j AB a̠ AJ k AC ɯ̟ᵝ
きょだい	kʲ AC o̞ AM d AH a̠ AJ i AJ
きょだく	kʲ AC o̞ AM d AH a̠ AJ k AC ɯ̟ᵝ
きょだつ	kʲ AC o̞ AM d AH a̠ AJ t AH s AG ɨᵝ
きょっけい	kʲ AC o̞ AM k̚ k AC e̞ː AK
きょっこう	kʲ AC o̞ AM k̚ k AC o̞ː AL
きょてん	kʲ AC o̞ AM t AH ẽ̞ ɴ AI
きょとう	kʲ AC o̞ AM t AH o̞ː AL
きょどう	kʲ AC o̞ AM d AH o̞ː AL
きょどうふしん	kʲ AC o̞ AM d AH o̞ː AL ɸ BE ɯ̟ᵝ ɕ BC ĩ ɴ AI
きょにゅう	kʲ AC o̞ AM ɲ̟ BF ɯ̟ᵝː
きょねん	kʲ AC o̞ AM n AE ẽ̞ ɴ AI
きょはく	kʲ AC o̞ AM h AA a̠ AJ k AC ɯ̟ᵝ
きょひる	kʲ AC o̞ AM ç i AJ ɾ BB ɯ̟ᵝ
きょみん	kʲ AC o̞ AM mʲ BG ĩ ɴ AI
きょむしゅぎ	kʲ AC o̞ AM m AD ɯ̟ᵝ ɕ BC ɨᵝ ɡʲ AC i AJ
きょよう	kʲ AC o̞ AM j AB o̞ː AL
きょり	kʲ AC o̞ AM ɾʲ BI i AJ
きょりきょうぎ	kʲ AC o̞ AM ɾʲ BI i AJ kʲ AC o̞ː AL ɡʲ AC i AJ
きょりゅう	kʲ AC o̞ː AL ɾʲ BI ɨᵝː
きょりゅうち	kʲ AC o̞ AM ɾʲ BI ɨᵝː t AH ɕ BC i AJ
きょろきょろ	kʲ AC o̞ AM ɾ BB o̞ AM kʲ AC o̞ AM ɾ BB o̞ AM
きよ	kʲ AC i AJ j AB o̞ AM
きよい	kʲ AC i AJ j AB o̞ AM i AJ
きよう	kʲ AC i AJ j AB o̞ː AL
きようびんぼう	kʲ AC i AJ j AB o̞ː AL bʲ BH ĩ m AD b AF o̞ː AL
きよはら	kʲ AC i AJ j AB o̞ AM h AA a̠ AJ ɾ BB a̠ AJ
きよまる	kʲ AC i AJ j AB o̞ AM m AD a̠ AJ ɾ BB ɯ̟ᵝ
きよめる	kʲ AC i AJ j AB o̞ AM m AD e̞ AJ ɾ BB ɯ̟ᵝ
きら	kʲ AC i AJ ɾ BB a̠ AJ
きらい	kʲ AC i AJ ɾ BB a̠ AJ i AJ
きらう	kʲ AC i AJ ɾ BB a̠ AJ ɯ̟ᵝ
きらきら	kʲ AC i AJ ɾ BB a̠ AJ kʲ AC i AJ ɾ BB a̠ AJ
きらく	kʲ AC i AJ ɾ BB a̠ AJ k AC ɯ̟ᵝ
きらす	kʲ AC i AJ ɾ BB a̠ AJ s AG ɨᵝ
きらぼし	kʲ AC i AJ ɾ BB a̠ AJ b AF o̞ AM ɕ BC i AJ
きらめく	kʲ AC i AJ ɾ BB a̠ AJ m AD e̞ AJ k AC ɯ̟ᵝ
きらり	kʲ AC i AJ ɾ BB a̠ AJ ɾʲ BI i AJ
きり	kʲ AC i AJ ɾʲ BI i AJ
きりおとす	kʲ AC i AJ ɾʲ BI i AJ o̞ AM t AH o̞ AM s AG ɨᵝ
きりかえ	kʲ AC i AJ ɾʲ BI i AJ k AC a̠ AJ e̞ AJ
きりかえす	kʲ AC i AJ ɾʲ BI i AJ k AC a̠ AJ e̞ AJ s AG ɨᵝ
きりかえる	kʲ AC i AJ ɾʲ BI i AJ k AC a̠ AJ e̞ AJ ɾ BB ɯ̟ᵝ
きりがみ	kʲ AC i AJ ɾʲ BI i AJ ɡ AC a̠ AJ mʲ BG i AJ
きりがやつ	kʲ AC i AJ ɾʲ BI i AJ ɡ AC a̠ AJ j AB a̠ AJ t AH s AG ɨᵝ
きりきり	kʲ AC i AJ ɾʲ BI i AJ kʲ AC i AJ ɾʲ BI i AJ
きりきりまい	kʲ AC i AJ ɾʲ BI i AJ kʲ AC i AJ ɾʲ BI i AJ m AD a̠ AJ i AJ
きりぎりす	kʲ AC i AJ ɾʲ BI i AJ ɡʲ AC i AJ ɾʲ BI i AJ s AG ɨᵝ
きりぐも	kʲ AC i AJ ɾʲ BI i AJ ɡ AC ɯ̟ᵝ m AD o̞ AM
きりさく	kʲ AC i AJ ɾʲ BI i AJ s AG a̠ AJ k AC ɯ̟ᵝ
きりさめ	kʲ AC i AJ ɾʲ BI i AJ s AG a̠ AJ m AD e̞ AJ
きりすてる	kʲ AC i AJ ɾʲ BI i AJ s AG ɨᵝ t AH e̞ AJ ɾ BB ɯ̟ᵝ
きりつせい	kʲ AC i AJ ɾʲ BI i AJ t AH s AG ɨᵝ s AG e̞ː AK
きりつせいていけつあつ	kʲ AC i AJ ɾʲ BI i AJ t AH s AG ɨᵝ s AG e̞ː AK t AH e̞ː AK k AC e̞ AJ t AH s AG ɨᵝ a̠ AJ t AH s AG ɨᵝ
きりとる	kʲ AC i AJ ɾʲ BI i AJ t AH o̞ AM ɾ BB ɯ̟ᵝ
きりは	kʲ AC i AJ ɾʲ BI i AJ h AA a̠ AJ
きりはなす	kʲ AC i AJ ɾʲ BI i AJ h AA a̠ AJ n AE a̠ AJ s AG ɨᵝ
きりひらく	kʲ AC i AJ ɾʲ BI i AJ ç i AJ ɾ BB a̠ AJ k AC ɯ̟ᵝ
きりふだ	kʲ AC i AJ ɾʲ BI i AJ ɸ BE ɯ̟ᵝ d AH a̠ AJ
きりぼしだいこん	kʲ AC i AJ ɾʲ BI i AJ b AF o̞ AM ɕ BC i AJ d AH a̠ AJ i AJ k AC õ̞ ɴ AI
きりみ	kʲ AC i AJ ɾʲ BI i AJ mʲ BG i AJ
きりょう	kʲ AC i AJ ɾʲ BI o̞ː AL
きりょく	kʲ AC i AJ ɾʲ BI o̞ AM k AC ɯ̟ᵝ
きりん	kʲ AC i AJ ɾʲ BI ĩ ɴ AI
きりんざ	kʲ AC i AJ ɾʲ BI ĩ n AE d AH z AG a̠ AJ
きりんじ	kʲ AC i AJ ɾʲ BI ĩ ɲ̟ BF d AH ʑ BC i AJ
きりんれいよう	kʲ AC i AJ ɾʲ BI ĩ n AE ɾ BB e̞ː AK j AB o̞ː AL
きる	kʲ AC i AJ ɾ BB ɯ̟ᵝ
きれい	kʲ AC i AJ ɾ BB e̞ː AK
きれいごと	kʲ AC i AJ ɾ BB e̞ː AK ɡ AC o̞ AM t AH o̞ AM
きれきれ	kʲ AC i AJ ɾ BB e̞ AJ kʲ AC i AJ ɾ BB e̞ AJ
きれっきれ	kʲ AC i AJ ɾ BB e̞ AJ k̚ʲ kʲ AC i AJ ɾ BB e̞ AJ
きれつ	kʲ AC i AJ ɾ BB e̞ AJ t AH s AG ɨᵝ
きれて	kʲ AC i AJ ɾ BB e̞ AJ t AH e̞ AJ
きれもの	kʲ AC i AJ ɾ BB e̞ AJ m AD o̞ AM n AE o̞ AM
きれる	kʲ AC i AJ ɾ BB e̞ AJ ɾ BB ɯ̟ᵝ
きろう	kʲ AC i AJ ɾ BB o̞ː AL
きろく	kʲ AC i AJ ɾ BB o̞ AM k AC ɯ̟ᵝ
きわた	kʲ AC i AJ ɰᵝ a̠ AJ t AH a̠ AJ
きわみ	kʲ AC i AJ ɰᵝ a̠ AJ mʲ BG i AJ
きをおとす	kʲ AC i AJ o̞ AM o̞ AM t AH o̞ AM s AG ɨᵝ
きをてらう	kʲ AC i AJ o̞ AM t AH e̞ AJ ɾ BB a̠ AJ ɯ̟ᵝ
きをとりなおす	kʲ AC i AJ o̞ AM t AH o̞ AM ɾʲ BI i AJ n AE a̠ AJ o̞ AM s AG ɨᵝ
きん	kʲ AC ĩ ɴ AI
きんいしゅくせいそくさくこうかしょう	kʲ AC ĩ ɰ̃ AB i AJ ɕ BC ɨᵝ k AC ɯ̟ᵝ s AG e̞ː AK s AG o̞ AM k AC ɯ̟ᵝ s AG a̠ AJ k AC ɯ̟ᵝ k AC o̞ː AL k AC a̠ AJ ɕ BC o̞ː AL
きんいろ	kʲ AC ĩ ɰ̃ AB i AJ ɾ BB o̞ AM
きんかんがっき	kʲ AC ĩ ŋ AI k AC ã̠ ŋ AI ɡ AC a̠ AJ k̚ʲ kʲ AC i AJ
きんがしんねん	kʲ AC ĩ ŋ AI ɡ AC a̠ AJ ɕ BC ĩ nː BA ẽ̞ ɴ AI
きんがん	kʲ AC ĩ ŋ AI ɡ AC ã̠ ɴ AI
きんき	kʲ AC ĩ ŋʲ AI kʲ AC i AJ
きんきゅう	kʲ AC ĩ ŋʲ AI kʲ AC ɨᵝː
きんきゅうじしんそくほう	kʲ AC ĩ ŋʲ AI kʲ AC ɨᵝː d AH ʑ BC i AJ ɕ BC ĩ ɰ̃ AB s AG o̞ AM k AC ɯ̟ᵝ h AA o̞ː AL
きんきょう	kʲ AC ĩ ŋʲ AI kʲ AC o̞ː AL
きんぎゅうきゅう	kʲ AC ĩ ŋʲ AI ɡʲ AC ɨᵝː kʲ AC ɨᵝː
きんぎょ	kʲ AC ĩ ŋʲ AI ɡʲ AC o̞ AM
きんぎょく	kʲ AC ĩ ŋʲ AI ɡʲ AC o̞ AM k AC ɯ̟ᵝ
きんぎょすくい	kʲ AC ĩ ŋʲ AI ɡʲ AC o̞ AM s AG ɨᵝ k AC ɯ̟ᵝ i AJ
きんぎょばち	kʲ AC ĩ ŋʲ AI ɡʲ AC o̞ AM b AF a̠ AJ t AH ɕ BC i AJ
きんぎんか	kʲ AC ĩ ŋʲ AI ɡʲ AC ĩ ŋ AI k AC a̠ AJ
きんく	kʲ AC ĩ ŋ AI k AC ɯ̟ᵝ
きんけい	kʲ AC ĩ ŋ AI k AC e̞ː AK
きんけり	kʲ AC ĩ ŋ AI k AC e̞ AJ ɾʲ BI i AJ
きんけん	kʲ AC ĩ ŋ AI k AC ẽ̞ ɴ AI
きんけんせいじ	kʲ AC ĩ ŋ AI k AC ẽ̞ ɰ̃ AB s AG e̞ː AK ʑ BC i AJ
きんこ	kʲ AC ĩ ŋ AI k AC o̞ AM
きんこう	kʲ AC ĩ ŋ AI k AC o̞ː AL
きんさ	kʲ AC ĩ ɰ̃ AB s AG a̠ AJ
きんし	kʲ AC ĩ ɰ̃ AB ɕ BC i AJ
きんしがん	kʲ AC ĩ ɰ̃ AB ɕ BC i AJ ɡ AC ã̠ ɴ AI
きんしじゃく	kʲ AC ĩ ɰ̃ AB ɕ BC i AJ ʑ BC a̠ AJ k AC ɯ̟ᵝ
きんしゅう	kʲ AC ĩ ɰ̃ AB ɕ BC ɨᵝː
きんしゅく	kʲ AC ĩ ɰ̃ AB ɕ BC ɨᵝ k AC ɯ̟ᵝ
きんしょう	kʲ AC ĩ ɰ̃ AB ɕ BC o̞ː AL
きんしょもくろく	kʲ AC ĩ ɰ̃ AB ɕ BC o̞ AM m AD o̞ AM k AC ɯ̟ᵝ ɾ BB o̞ AM k AC ɯ̟ᵝ
きんしん	kʲ AC ĩ ɰ̃ AB ɕ BC ĩ ɴ AI
きんしんそうかん	kʲ AC ĩ ɰ̃ AB ɕ BC ĩ ɰ̃ AB s AG o̞ː AL k AC ã̠ ɴ AI
きんじ	kʲ AC ĩ ɲ̟ BF d AH ʑ BC i AJ
きんじえない	kʲ AC ĩ ɲ̟ BF d AH ʑ BC i AJ e̞ AJ n AE a̠ AJ i AJ
きんじそう	kʲ AC ĩ ɲ̟ BF d AH ʑ BC i AJ s AG o̞ː AL
きんじつ	kʲ AC ĩ ɲ̟ BF d AH ʑ BC i AJ t AH s AG ɨᵝ
きんじて	kʲ AC ĩ ɲ̟ BF d AH ʑ BC i AJ t AH e̞ AJ
きんじとう	kʲ AC ĩ ɲ̟ BF d AH ʑ BC i AJ t AH o̞ː AL
きんじょ	kʲ AC ĩ ɲ̟ BF d AH ʑ BC o̞ AM
きんじょうてっぺき	kʲ AC ĩ ɲ̟ BF d AH ʑ BC o̞ː AL t AH e̞ AJ p̚ p AF e̞ AJ kʲ AC i AJ
きんじょうてんのう	kʲ AC ĩ ɲ̟ BF d AH ʑ BC o̞ː AL t AH ẽ̞ nː BA o̞ː AL
きんじる	kʲ AC ĩ ɲ̟ BF d AH ʑ BC i AJ ɾ BB ɯ̟ᵝ
きんす	kʲ AC ĩ ɰ̃ AB s AG ɨᵝ
きんせい	kʲ AC ĩ ɰ̃ AB s AG e̞ː AK
きんせつ	kʲ AC ĩ ɰ̃ AB s AG e̞ AJ t AH s AG ɨᵝ
きんせん	kʲ AC ĩ ɰ̃ AB s AG ẽ̞ ɴ AI
きんぞく	kʲ AC ĩ n AE d AH z AG o̞ AM k AC ɯ̟ᵝ
きんぞくおん	kʲ AC ĩ n AE d AH z AG o̞ AM k AC ɯ̟ᵝ õ̞ ɴ AI
きんぞくたんちき	kʲ AC ĩ n AE d AH z AG o̞ AM k AC ɯ̟ᵝ t AH ã̠ ɲ̟ BF t AH ɕ BC i AJ kʲ AC i AJ
きんたまぶくろ	kʲ AC ĩ n AE t AH a̠ AJ m AD a̠ AJ b AF ɯ̟ᵝ k AC ɯ̟ᵝ ɾ BB o̞ AM
きんたん	kʲ AC ĩ n AE t AH ã̠ ɴ AI
きんだい	kʲ AC ĩ n AE d AH a̠ AJ i AJ
きんだいち	kʲ AC ĩ n AE d AH a̠ AJ i AJ t AH ɕ BC i AJ
きんだん	kʲ AC ĩ n AE d AH ã̠ ɴ AI
きんちゃく	kʲ AC ĩ ɲ̟ BF t AH ɕ BC a̠ AJ k AC ɯ̟ᵝ
きんちょう	kʲ AC ĩ ɲ̟ BF t AH ɕ BC o̞ː AL
きんつぎ	kʲ AC ĩ n AE t AH s AG ɨᵝ ɡʲ AC i AJ
きんて	kʲ AC ĩ n AE t AH e̞ AJ
きんてい	kʲ AC ĩ n AE t AH e̞ː AK
きんてき	kʲ AC ĩ n AE t AH e̞ AJ kʲ AC i AJ
きんてん	kʲ AC ĩ n AE t AH ẽ̞ ɴ AI
きんとう	kʲ AC ĩ n AE t AH o̞ː AL
きんにく	kʲ AC ĩ ɲ̟ BF ɲ̟ BF i AJ k AC ɯ̟ᵝ
きんばく	kʲ AC ĩ m AD b AF a̠ AJ k AC ɯ̟ᵝ
きんばくび	kʲ AC ĩ m AD b AF a̠ AJ k AC ɯ̟ᵝ bʲ BH i AJ
きんぱく	kʲ AC ĩ m AD p AF a̠ AJ k AC ɯ̟ᵝ
きんぱつ	kʲ AC ĩ m AD p AF a̠ AJ t AH s AG ɨᵝ
きんぴん	kʲ AC ĩ m AD pʲ BH ĩ ɴ AI
きんぺいばい	kʲ AC ĩ m AD p AF e̞ː AK b AF a̠ AJ i AJ
きんぼう	kʲ AC ĩ m AD b AF o̞ː AL
きんみゃく	kʲ AC ĩ mʲː BK a̠ AJ k AC ɯ̟ᵝ
きんみらい	kʲ AC ĩ mʲː BK i AJ ɾ BB a̠ AJ i AJ
きんむ	kʲ AC ĩ mː AN ɯ̟ᵝ
きんむいん	kʲ AC ĩ mː AN ɯ̟ᵝ ĩ ɴ AI
きんむさき	kʲ AC ĩ mː AN ɯ̟ᵝ s AG a̠ AJ kʲ AC i AJ
きんめだい	kʲ AC ĩ mː AN e̞ AJ d AH a̠ AJ i AJ
きんもくせい	kʲ AC ĩ mː AN o̞ AM k AC ɯ̟ᵝ s AG e̞ː AK
きんもつ	kʲ AC ĩ mː AN o̞ AM t AH s AG ɨᵝ
きんゆう	kʲ AC ĩ ɰ̃ AB j AB ɯ̟ᵝː
きんよう	kʲ AC ĩ ɰ̃ AB j AB o̞ː AL
きんようび	kʲ AC ĩ ɰ̃ AB j AB o̞ː AL bʲ BH i AJ
きんよく	kʲ AC ĩ ɰ̃ AB j AB o̞ AM k AC ɯ̟ᵝ
きんらい	kʲ AC ĩ n AE ɾ BB a̠ AJ i AJ
きんらん	kʲ AC ĩ n AE ɾ BB ã̠ ɴ AI
きんりょう	kʲ AC ĩ n AE ɾʲ BI o̞ː AL
きんりょく	kʲ AC ĩ n AE ɾʲ BI o̞ AM k AC ɯ̟ᵝ
きんるい	kʲ AC ĩ n AE ɾ BB ɯ̟ᵝ i AJ
きんろう	kʲ AC ĩ n AE ɾ BB o̞ː AL
き゚	ŋʲ AI i AJ
き゚ぇ	ŋʲ AI e̞ AJ
き゚ゃ	ŋʲ AI a̠ AJ
き゚ゅ	ŋʲ AI ɨᵝ
き゚ょ	ŋʲ AI o̞ AM
ぎ	ɡʲ AC i AJ
ぎいん	ɡʲ AC i AJ ĩ ɴ AI
ぎぇ	ɡʲ AC e̞ AJ
ぎえんきん	ɡʲ AC i AJ ẽ̞ ŋʲ AI kʲ AC ĩ ɴ AI
ぎおん	ɡʲ AC i AJ õ̞ ɴ AI
ぎかい	ɡʲ AC i AJ k AC a̠ AJ i AJ
ぎきょうだい	ɡʲ AC i AJ kʲ AC o̞ː AL d AH a̠ AJ i AJ
ぎくんし	ɡʲ AC i AJ k AC ɯ̟̃ᵝ ɰ̃ AB ɕ BC i AJ
ぎぐん	ɡʲ AC i AJ ɡ AC ɯ̟̃ᵝ ɴ AI
ぎけい	ɡʲ AC i AJ k AC e̞ː AK
ぎけつ	ɡʲ AC i AJ k AC e̞ AJ t AH s AG ɨᵝ
ぎこちない	ɡʲ AC i AJ k AC o̞ AM t AH ɕ BC i AJ n AE a̠ AJ i AJ
ぎごく	ɡʲ AC i AJ ɡ AC o̞ AM k AC ɯ̟ᵝ
ぎさぶろう	ɡʲ AC i AJ s AG a̠ AJ b AF ɯ̟ᵝ ɾ BB o̞ː AL
ぎざ	ɡʲ AC i AJ z AG a̠ AJ
ぎし	ɡʲ AC i AJ ɕ BC i AJ
ぎしき	ɡʲ AC i AJ ɕ BC i̥ AJ kʲ AC i AJ
ぎしょう	ɡʲ AC i AJ ɕ BC o̞ː AL
ぎしん	ɡʲ AC i AJ ɕ BC ĩ ɴ AI
ぎじ	ɡʲ AC i AJ ʑ BC i AJ
ぎじゅつ	ɡʲ AC i AJ ʑ BC ɨᵝ t AH s AG ɨᵝ
ぎじゅつてき	ɡʲ AC i AJ ʑ BC ɨᵝ t AH s AG ɨᵝ t AH e̞ AJ kʲ AC i AJ
ぎじょう	ɡʲ AC i AJ ʑ BC o̞ː AL
ぎじょうご	ɡʲ AC i AJ ʑ BC o̞ː AL ɡ AC o̞ AM
ぎじんか	ɡʲ AC i AJ ʑ BC ĩ ŋ AI k AC a̠ AJ
ぎせい	ɡʲ AC i AJ s AG e̞ː AK
ぎせき	ɡʲ AC i AJ s AG e̞ AJ kʲ AC i AJ
ぎぜんしゃ	ɡʲ AC i AJ z AG ẽ̞ ɰ̃ AB ɕ BC a̠ AJ
ぎそう	ɡʲ AC i AJ s AG o̞ː AL
ぎそく	ɡʲ AC i AJ s AG o̞ AM k AC ɯ̟ᵝ
ぎぞく	ɡʲ AC i AJ z AG o̞ AM k AC ɯ̟ᵝ
ぎたい	ɡʲ AC i AJ t AH a̠ AJ i AJ
ぎっしゃ	ɡʲ AC i AJ ɕː BJ a̠ AJ
ぎったんばっこん	ɡʲ AC i AJ t̚ t AH ã̠ m AD b AF a̠ AJ k̚ k AC õ̞ ɴ AI
ぎてい	ɡʲ AC i AJ t AH e̞ː AK
ぎどうさんし	ɡʲ AC i AJ d AH o̞ː AL s AG ã̠ ɰ̃ AB ɕ BC i AJ
ぎなたよみ	ɡʲ AC i AJ n AE a̠ AJ t AH a̠ AJ j AB o̞ AM mʲ BG i AJ
ぎねん	ɡʲ AC i AJ n AE ẽ̞ ɴ AI
ぎふ	ɡʲ AC i AJ ɸ BE ɯ̟ᵝ
ぎふけん	ɡʲ AC i AJ ɸ BE ɯ̟ᵝ k AC ẽ̞ ɴ AI
ぎふん	ɡʲ AC i AJ ɸ BE ɯ̟̃ᵝ ɴ AI
ぎほう	ɡʲ AC i AJ h AA o̞ː AL
ぎぼ	ɡʲ AC i AJ b AF o̞ AM
ぎまい	ɡʲ AC i AJ m AD a̠ AJ i AJ
ぎむづける	ɡʲ AC i AJ m AD ɯ̟ᵝ z AG ɨᵝ k AC e̞ AJ ɾ BB ɯ̟ᵝ
ぎめい	ɡʲ AC i AJ m AD e̞ː AK
